"time","latitude","longitude","analysed_sst","siteid"
"2024-01-09T09:00:00Z",34.4,-119.75,13.927,"ABUR"
"2024-01-09T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-09T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-10T09:00:00Z",34.38,-119.75,14.2,"ABUR"
"2024-01-10T09:00:00Z",34.38,-119.74,14.191,"ABUR"
"2024-01-10T09:00:00Z",34.38,-119.73,14.177,"ABUR"
"2024-01-10T09:00:00Z",34.39,-119.75,14.128,"ABUR"
"2024-01-10T09:00:00Z",34.39,-119.74,14.117,"ABUR"
"2024-01-10T09:00:00Z",34.39,-119.73,14.103,"ABUR"
"2024-01-10T09:00:00Z",34.4,-119.75,14.074,"ABUR"
"2024-01-10T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-10T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-11T09:00:00Z",34.38,-119.75,13.758,"ABUR"
"2024-01-11T09:00:00Z",34.38,-119.74,13.727,"ABUR"
"2024-01-11T09:00:00Z",34.38,-119.73,13.697,"ABUR"
"2024-01-11T09:00:00Z",34.39,-119.75,13.743,"ABUR"
"2024-01-11T09:00:00Z",34.39,-119.74,13.709,"ABUR"
"2024-01-11T09:00:00Z",34.39,-119.73,13.675,"ABUR"
"2024-01-11T09:00:00Z",34.4,-119.75,13.72,"ABUR"
"2024-01-11T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-11T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-01T09:00:00Z",34.46,-120.12,15.648,"AQUE"
"2024-01-01T09:00:00Z",34.46,-120.11,15.66,"AQUE"
"2024-01-01T09:00:00Z",34.47,-120.13,15.64,"AQUE"
"2024-01-01T09:00:00Z",34.47,-120.12,15.652,"AQUE"
"2024-01-01T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-01T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-01T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-01T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-02T09:00:00Z",34.46,-120.13,15.86,"AQUE"
"2024-01-02T09:00:00Z",34.46,-120.12,15.877,"AQUE"
"2024-01-02T09:00:00Z",34.46,-120.11,15.889,"AQUE"
"2024-01-02T09:00:00Z",34.47,-120.13,15.845,"AQUE"
"2024-01-02T09:00:00Z",34.47,-120.12,15.863,"AQUE"
"2024-01-02T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-02T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-02T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-02T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-03T09:00:00Z",34.46,-120.13,15.719,"AQUE"
"2024-01-03T09:00:00Z",34.46,-120.12,15.735,"AQUE"
"2024-01-03T09:00:00Z",34.46,-120.11,15.748,"AQUE"
"2024-01-03T09:00:00Z",34.47,-120.13,15.715,"AQUE"
"2024-01-03T09:00:00Z",34.47,-120.12,15.73,"AQUE"
"2024-01-03T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-03T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-03T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-03T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-04T09:00:00Z",34.46,-120.13,15.464,"AQUE"
"2024-01-04T09:00:00Z",34.46,-120.12,15.486,"AQUE"
"2024-01-04T09:00:00Z",34.46,-120.11,15.505,"AQUE"
"2024-01-04T09:00:00Z",34.47,-120.13,15.433,"AQUE"
"2024-01-04T09:00:00Z",34.47,-120.12,15.453,"AQUE"
"2024-01-04T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-04T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-04T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-04T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-05T09:00:00Z",34.46,-120.13,15.015,"AQUE"
"2024-01-05T09:00:00Z",34.46,-120.12,15.036,"AQUE"
"2024-01-05T09:00:00Z",34.46,-120.11,15.058,"AQUE"
"2024-01-05T09:00:00Z",34.47,-120.13,14.966,"AQUE"
"2024-01-05T09:00:00Z",34.47,-120.12,14.985,"AQUE"
"2024-01-05T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-05T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-05T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-05T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-06T09:00:00Z",34.46,-120.13,14.594,"AQUE"
"2024-01-06T09:00:00Z",34.46,-120.12,14.596,"AQUE"
"2024-01-06T09:00:00Z",34.46,-120.11,14.605,"AQUE"
"2024-01-06T09:00:00Z",34.47,-120.13,14.582,"AQUE"
"2024-01-06T09:00:00Z",34.47,-120.12,14.581,"AQUE"
"2024-01-06T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-06T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-06T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-06T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-07T09:00:00Z",34.46,-120.13,14.287,"AQUE"
"2024-01-07T09:00:00Z",34.46,-120.12,14.275,"AQUE"
"2024-01-07T09:00:00Z",34.46,-120.11,14.271,"AQUE"
"2024-01-07T09:00:00Z",34.47,-120.13,14.268,"AQUE"
"2024-01-07T09:00:00Z",34.47,-120.12,14.257,"AQUE"
"2024-01-07T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-07T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-07T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-07T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-08T09:00:00Z",34.46,-120.13,13.918,"AQUE"
"2024-01-08T09:00:00Z",34.46,-120.12,13.934,"AQUE"
"2024-01-08T09:00:00Z",34.46,-120.11,13.964,"AQUE"
"2024-01-08T09:00:00Z",34.47,-120.13,13.887,"AQUE"
"2024-01-08T09:00:00Z",34.47,-120.12,13.9,"AQUE"
"2024-01-08T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-08T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-08T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-08T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-09T09:00:00Z",34.46,-120.13,14.091,"AQUE"
"2024-01-09T09:00:00Z",34.46,-120.12,14.124,"AQUE"
"2024-01-09T09:00:00Z",34.46,-120.11,14.148,"AQUE"
"2024-01-09T09:00:00Z",34.47,-120.13,14.011,"AQUE"
"2024-01-09T09:00:00Z",34.47,-120.12,14.041,"AQUE"
"2024-01-09T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-09T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-09T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-09T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-10T09:00:00Z",34.46,-120.13,13.968,"AQUE"
"2024-01-10T09:00:00Z",34.46,-120.12,14.008,"AQUE"
"2024-01-10T09:00:00Z",34.46,-120.11,14.032,"AQUE"
"2024-01-10T09:00:00Z",34.47,-120.13,13.89,"AQUE"
"2024-01-10T09:00:00Z",34.47,-120.12,13.927,"AQUE"
"2024-01-10T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-10T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-10T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-10T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-11T09:00:00Z",34.46,-120.13,13.547,"AQUE"
"2024-01-11T09:00:00Z",34.46,-120.12,13.588,"AQUE"
"2024-01-11T09:00:00Z",34.46,-120.11,13.625,"AQUE"
"2024-01-11T09:00:00Z",34.47,-120.13,13.515,"AQUE"
"2024-01-11T09:00:00Z",34.47,-120.12,13.548,"AQUE"
"2024-01-11T09:00:00Z",34.47,-120.11,NaN,"AQUE"
"2024-01-11T09:00:00Z",34.48,-120.13,NaN,"AQUE"
"2024-01-11T09:00:00Z",34.48,-120.12,NaN,"AQUE"
"2024-01-11T09:00:00Z",34.48,-120.11,NaN,"AQUE"
"2024-01-01T09:00:00Z",34.38,-119.73,15.604,"MOHK"
"2024-01-01T09:00:00Z",34.38,-119.72,15.636,"MOHK"
"2024-01-01T09:00:00Z",34.39,-119.74,15.572,"MOHK"
"2024-01-01T09:00:00Z",34.39,-119.73,15.6,"MOHK"
"2024-01-01T09:00:00Z",34.39,-119.72,15.628,"MOHK"
"2024-01-01T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-01T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-01T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-02T09:00:00Z",34.38,-119.74,15.858,"MOHK"
"2024-01-02T09:00:00Z",34.38,-119.73,15.865,"MOHK"
"2024-01-02T09:00:00Z",34.38,-119.72,15.885,"MOHK"
"2024-01-02T09:00:00Z",34.39,-119.74,15.866,"MOHK"
"2024-01-02T09:00:00Z",34.39,-119.73,15.869,"MOHK"
"2024-01-02T09:00:00Z",34.39,-119.72,15.884,"MOHK"
"2024-01-02T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-02T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-02T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-03T09:00:00Z",34.38,-119.74,15.949,"MOHK"
"2024-01-03T09:00:00Z",34.38,-119.73,15.948,"MOHK"
"2024-01-03T09:00:00Z",34.38,-119.72,15.949,"MOHK"
"2024-01-03T09:00:00Z",34.39,-119.74,15.942,"MOHK"
"2024-01-03T09:00:00Z",34.39,-119.73,15.94,"MOHK"
"2024-01-03T09:00:00Z",34.39,-119.72,15.941,"MOHK"
"2024-01-03T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-03T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-03T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-04T09:00:00Z",34.38,-119.74,15.54,"MOHK"
"2024-01-04T09:00:00Z",34.38,-119.73,15.542,"MOHK"
"2024-01-04T09:00:00Z",34.38,-119.72,15.539,"MOHK"
"2024-01-04T09:00:00Z",34.39,-119.74,15.473,"MOHK"
"2024-01-04T09:00:00Z",34.39,-119.73,15.476,"MOHK"
"2024-01-04T09:00:00Z",34.39,-119.72,15.475,"MOHK"
"2024-01-04T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-04T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-04T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-05T09:00:00Z",34.38,-119.74,15.198,"MOHK"
"2024-01-05T09:00:00Z",34.38,-119.73,15.211,"MOHK"
"2024-01-05T09:00:00Z",34.38,-119.72,15.221,"MOHK"
"2024-01-05T09:00:00Z",34.39,-119.74,15.109,"MOHK"
"2024-01-05T09:00:00Z",34.39,-119.73,15.126,"MOHK"
"2024-01-05T09:00:00Z",34.39,-119.72,15.138,"MOHK"
"2024-01-05T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-05T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-05T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-06T09:00:00Z",34.38,-119.74,14.899,"MOHK"
"2024-01-06T09:00:00Z",34.38,-119.73,14.937,"MOHK"
"2024-01-06T09:00:00Z",34.38,-119.72,14.978,"MOHK"
"2024-01-06T09:00:00Z",34.39,-119.74,14.85,"MOHK"
"2024-01-06T09:00:00Z",34.39,-119.73,14.893,"MOHK"
"2024-01-06T09:00:00Z",34.39,-119.72,14.935,"MOHK"
"2024-01-06T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-06T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-06T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-07T09:00:00Z",34.38,-119.74,14.493,"MOHK"
"2024-01-07T09:00:00Z",34.38,-119.73,14.514,"MOHK"
"2024-01-07T09:00:00Z",34.38,-119.72,14.534,"MOHK"
"2024-01-07T09:00:00Z",34.39,-119.74,14.448,"MOHK"
"2024-01-07T09:00:00Z",34.39,-119.73,14.469,"MOHK"
"2024-01-07T09:00:00Z",34.39,-119.72,14.491,"MOHK"
"2024-01-07T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-07T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-07T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-08T09:00:00Z",34.38,-119.74,14.021,"MOHK"
"2024-01-08T09:00:00Z",34.38,-119.73,14.052,"MOHK"
"2024-01-08T09:00:00Z",34.38,-119.72,14.095,"MOHK"
"2024-01-08T09:00:00Z",34.39,-119.74,13.985,"MOHK"
"2024-01-08T09:00:00Z",34.39,-119.73,14.015,"MOHK"
"2024-01-08T09:00:00Z",34.39,-119.72,14.053,"MOHK"
"2024-01-08T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-08T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-08T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-09T09:00:00Z",34.38,-119.74,14.011,"MOHK"
